projectId,projectName,category,startDate,endDate
pr_355,Tresom,Client Project,2024-02-15,2024-02-29
pr_672,Span,Sales Activity,2024-04-04,2024-06-06
pr_71,Transcof,Client Project,2024-05-24,2024-07-05
pr_295,Latlux,Sales Activity,2024-11-28,2025-01-09
pr_421,Zamit,Sales Activity,2024-04-11,2024-04-25
pr_815,Bitwolf,Client Project,2024-04-07,2024-05-19
pr_825,Zontrax,Client Project,2024-08-31,2024-09-21
pr_377,Domainer,Sales Activity,2024-08-21,2024-10-02
pr_06,Pannier,Client Project,2024-08-12,2024-09-09
pr_28,Y-Solowarm,Sales Activity,2024-12-22,2025-02-23
pr_58,Zontrax,Client Project,2024-08-17,2024-11-02
pr_201,Lotstring,Sales Activity,2024-03-21,2024-06-13
pr_624,Y-Solowarm,Client Project,2024-01-30,2024-04-09
pr_939,Sonair,Sales Activity,2024-04-09,2024-05-14
pr_581,Keylex,Sales Activity,2024-09-06,2024-10-11
pr_776,Sonsing,Client Project,2024-03-30,2024-06-08
pr_649,Gembucket,Client Project,2024-06-30,2024-08-11
pr_191,Temp,Client Project,2024-08-18,2024-10-06
pr_513,Alpha,Client Project,2024-10-14,2024-12-30
pr_365,Zaam-Dox,Sales Activity,2024-04-29,2024-07-08
pr_54,Y-Solowarm,Client Project,2024-12-09,2024-12-30
pr_220,Cookley,Client Project,2024-06-27,2024-09-05
pr_15,Asoka,Sales Activity,2024-10-10,2024-12-19
pr_922,Aerified,Client Project,2024-05-25,2024-06-29
pr_874,Greenlam,Sales Activity,2024-11-21,2025-01-30
pr_189,Cookley,Sales Activity,2024-04-18,2024-07-04
pr_900,Flowdesk,Sales Activity,2024-04-14,2024-06-30
pr_256,Alpha,Client Project,2024-04-30,2024-07-23
pr_755,Bitchip,Sales Activity,2024-11-19,2025-01-28
pr_242,Ronstring,Client Project,2024-03-08,2024-05-17
pr_183,Stringtough,Sales Activity,2024-03-07,2024-05-02
pr_47,Flowdesk,Client Project,2024-04-10,2024-05-29
pr_850,Fix San,Sales Activity,2024-07-24,2024-08-14
pr_720,Job,Client Project,2024-05-19,2024-07-07
pr_648,Flexidy,Sales Activity,2024-03-28,2024-04-18
pr_58,Tresom,Sales Activity,2024-08-31,2024-11-02
pr_873,Bitwolf,Sales Activity,2024-08-06,2024-09-17
pr_743,Rank,Sales Activity,2024-05-09,2024-05-23
pr_430,Sub-Ex,Sales Activity,2024-05-13,2024-07-15
pr_532,Stronghold,Sales Activity,2024-03-20,2024-06-12
pr_648,Job,Sales Activity,2024-03-11,2024-04-08
pr_454,Flowdesk,Sales Activity,2024-02-08,2024-04-11
